ID,Name,Typ,Land,Am,MW
bvb35,Marcel Lotka,1,NA,NA,A
bvb36,Tom Rothe,1,NA,NA,B
bvb43,Jamie Bynoe Gittens,1,NA,NA,D
bvb47,Antonios Papadopoulos,1,NA,NA,A
scf1,Benjamin Uphoff,1,NA,NA,A
scf3,Philipp Lienhart,1,NA,NA,G
scf5,Manuel Gulde,1,NA,NA,B
scf7,Jonathan Schmid,1,NA,NA,C
scf8,Maximilian Eggestein,1,NA,NA,H
scf9,Lucas Hoeler,1,NA,NA,C
scf11,Daniel Kofi Kyereh,1,NA,NA,D
scf14,Yannik Keitel,1,NA,NA,B
scf17,Lukas Kuebler,1,NA,NA,B
scf18,Nils Petersen,1,NA,NA,E
scf22,Roland Sallai,1,NA,NA,F
scf23,Robert Wagner,1,NA,NA,A
scf25,Kiliann Sildillia,1,NA,NA,D
scf26,Mark Flekken,1,NA,NA,C
scf27,Nicolas Hoefler,1,NA,NA,B
scf28,Matthias Ginter,1,NA,NA,I
scf29,Woo Yeong Jeong,1,NA,NA,C
scf30,Christian Guenter,1,NA,NA,E
scf32,Vincenzo Grifo,1,NA,NA,E
scf33,Noah Weisshaupt,1,NA,NA,B
scf38,Michael Gregoritsch,1,NA,NA,F
scf42,Ritsu Doan,1,NA,NA,F
sge1,Kevin Trapp,1,NA,NA,E
sge2,Evan N Dicka,1,NA,NA,I
sge5,Hrvoje Smolcic,1,NA,NA,B
sge6,Kristijan Jakic,1,NA,NA,D
sge8,Djibril Sow,1,NA,NA,G
sge9,Randal Kolo Muani,1,NA,NA,I
sge11,Faride Alidou,1,NA,NA,A
sge15,Daichi Kamada,1,NA,NA,H
sge17,Sebastian Rode,1,NA,NA,D
sge18,Almamy Toure,1,NA,NA,D
sge19,Rafael Borre,1,NA,NA,F
sge20,Makoto Hasebe,1,NA,NA,B
sge21,Lucas Alario,1,NA,NA,F
sge22,Timothy Chandler,1,NA,NA,B
sge24,Aurelio Buta,1,NA,NA,C
sge25,Christopher Lenz,1,NA,NA,B
sge26,Junior Dina Ebimbe,1,NA,NA,C
sge27,Mario Goetze,1,NA,NA,K
sge28,Marcel Wenig,1,NA,NA,A
sge29,Jesper Lindstrom,1,NA,NA,H
sge31,Jens Grahl,1,NA,NA,A
sge32,Philipp Max,1,NA,NA,F
sge35,Tuta,1,NA,NA,E
sge36,Ansgar Knauff,1,NA,NA,D
sge40,Diant Ramaj,1,NA,NA,A
wob1,Koen Casteels,1,NA,NA,E
wob2,Kilian Fischer,1,NA,NA,A
wob3,Sebastiaan Bornauw,1,NA,NA,E
wob4,Maxence Lacroix,1,NA,NA,H
wob5,Micky van de Veen,1,NA,NA,D
wob6,Paulo Otavio,1,NA,NA,D
wob7,Luca Waldschmidt,1,NA,NA,G
wob10,Lukas Nmecha,1,NA,NA,F
wob12,Pavao Pervan,1,NA,NA,A
wob16,Jakub Kaminski,1,NA,NA,D
wob20,Ridle Baku,1,NA,NA,G
wob22,Felix Nmecha,1,NA,NA,B
wob23,Jonas Wind,1,NA,NA,E
wob27,Maximilian Arnold,1,NA,NA,F
wob29,Joshua Guilavogui,1,NA,NA,E
wob31,Yannik Gerhardt,1,NA,NA,E
wob32,Mattias Svanberg,1,NA,NA,E
wob33,Omar Marmoush,1,NA,NA,C
wob38,Bartol Franjic,1,NA,NA,C
wob39,Patrick Wimmer,1,NA,NA,D
wob40,Kevin Paredes,1,NA,NA,B
bmg1,Jonas Omlin,1,NA,NA,D
bmg3,Ko Itakura,1,NA,NA,E
bmg4,Mamadou Doucoure,1,NA,NA,A
bmg5,Marvin Friedrich,1,NA,NA,D
bmg6,Christoph Kramer,1,NA,NA,E
bmg7,Patrick Herrmann,1,NA,NA,E
bmg8,Julian Weigl,1,NA,NA,H
bmg10,Marcus Thuram,1,NA,NA,I
bmg11,Hannes Wolf,1,NA,NA,E
bmg13,Lars Stindl,1,NA,NA,F
bmg14,Alassane Plea,1,NA,NA,I
bmg17,Manu Kone,1,NA,NA,G
bmg18,Stefan Lainer,1,NA,NA,F
bmg19,Nathan Ngoumou,1,NA,NA,C
bmg20,Luca Netz,1,NA,NA,C
bmg21,Tobias Sippel,1,NA,NA,B
bmg23,Jonas Hofmann,1,NA,NA,F
bmg24,Tony Jantschke,1,NA,NA,D
bmg25,Ramy Bensebaini,1,NA,NA,G
bmg29,Joe Scally,1,NA,NA,E
bmg30,Nico Elvedi,1,NA,NA,I
bmg32,Florian Neuhaus,1,NA,NA,I
bmg34,Conor Noss,1,NA,NA,A
bmg38,Yvandro Borges Sanches,1,NA,NA,A
bmg41,Jan Olschowsky,1,NA,NA,A
lev1,Lukas Hradecky,1,NA,NA,E
lev3,Piero Hincapie,1,NA,NA,G
lev4,Jonathan Tah,1,NA,NA,I
lev5,Mitchell Bakker,1,NA,NA,E
lev6,Odilon Koussounou,1,NA,NA,G
lev8,Robert Andrich,1,NA,NA,E
lev9,Sardar Azmoun,1,NA,NA,G
lev10,Kerem Demirbay,1,NA,NA,I
lev11,Nadiem Amiri,1,NA,NA,G
lev12,Edmond Tapsoba,1,NA,NA,I
lev14,Patrik Schick,1,NA,NA,J
lev17,Callum Hudson Odoi,1,NA,NA,I
lev19,Moussa Diaby,1,NA,NA,K
lev20,Charles Aranguiz,1,NA,NA,E
lev21,Amine Adli,1,NA,NA,E
lev22,Daley Sinkgraven,1,NA,NA,D
lev23,Adam Hlozek,1,NA,NA,F
lev24,Timothy Fosu Mensah,1,NA,NA,C
lev25,Exequiel Palacios,1,NA,NA,G
lev27,Florian Wirtz,1,NA,NA,L
lev30,Jeremie Frimpong,1,NA,NA,G
lev32,Ayman Azhil,1,NA,NA,A
lev38,Karim Bellarabi,1,NA,NA,G
lev40,Andrey Lunev,1,NA,NA,E
svw1,Jiri Pavlenka,1,NA,NA,E
svw3,Anthony Jung,1,NA,NA,A
svw4,Niklas Stark,1,NA,NA,F
svw5,Amos Pieper,1,NA,NA,C
svw6,Jens Stage,1,NA,NA,B
svw7,Marvin Ducksch,1,NA,NA,B
svw8,Mitchell Weiser,1,NA,NA,E
svw10,Leonardo Bittencourt,1,NA,NA,C
svw11,Niclas Fuellkrug,1,NA,NA,E
svw13,Milos Veljkovic,1,NA,NA,E
svw17,Maximilian Philipp,1,NA,NA,F
svw19,Dikeni Salifou,1,NA,NA,A
svw20,Romano Schmid,1,NA,NA,B
svw21,Eren Dinkci,1,NA,NA,A
svw22,Niklas Schmidt,1,NA,NA,A
svw26,Lee Buchanan,1,NA,NA,B
svw27,Felix Agu,1,NA,NA,A
svw28,Ilia Gruev,1,NA,NA,B
svw30,Michael Zetterer,1,NA,NA,A
svw32,Marco Friedl,1,NA,NA,C
svw34,Jean Manuel Mbom,1,NA,NA,B
svw36,Christian Gross,1,NA,NA,A
svw39,Fabio Chiarodia,1,NA,NA,A
koe1,Timo Horn,1,NA,NA,E
koe2,Benno Schmitz,1,NA,NA,B
koe3,Kristian Pedersen,1,NA,NA,B
koe4,Timo Huebers,1,NA,NA,C
koe5,Nikola Soldo,1,NA,NA,A
koe6,Eric Martel,1,NA,NA,B
koe7,Dejan Ljubicic,1,NA,NA,D
koe8,Denis Huseinbasic,1,NA,NA,A
koe9,Sebastian Andersson,1,NA,NA,C
koe11,Florian Kainz,1,NA,NA,B
koe13,Marc Uth,1,NA,NA,G
koe14,Jonas Hector,1,NA,NA,F
koe15,Luca Kilian,1,NA,NA,B
